사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2019-12,1호선,0150,서울역,"1,586,305","1,487,492","232,973","223,784",2020-01-03 12:38:51
2019-12,1호선,0151,시청,"740,715","747,266","124,589","125,967",2020-01-03 12:38:51
2019-12,1호선,0152,종각,"1,275,450","1,219,017","192,545","180,799",2020-01-03 12:38:51
2019-12,1호선,0153,종로3가,"675,882","643,348","412,567","385,274",2020-01-03 12:38:51
2019-12,1호선,0154,종로5가,"577,725","595,317","289,976","279,234",2020-01-03 12:38:51
2019-12,1호선,0155,동대문,"324,427","368,279","145,423","151,175",2020-01-03 12:38:51
2019-12,1호선,0156,신설동,"368,841","358,232","128,403","122,741",2020-01-03 12:38:51
2019-12,1호선,0157,제기동,"285,500","276,924","330,880","350,887",2020-01-03 12:38:51
2019-12,1호선,0158,청량리(서울시립대입구),"451,233","467,176","321,873","327,417",2020-01-03 12:38:51
2019-12,1호선,0159,동묘앞,"178,911","192,564","150,023","152,748",2020-01-03 12:38:51
2019-12,2호선,0201,시청,"757,474","702,377","67,822","60,482",2020-01-03 12:38:51
2019-12,2호선,0202,을지로입구,"1,550,270","1,537,183","133,463","124,050",2020-01-03 12:38:51
2019-12,2호선,0203,을지로3가,"641,995","640,432","96,345","95,654",2020-01-03 12:38:51
2019-12,2호선,0204,을지로4가,"323,345","328,284","93,808","90,095",2020-01-03 12:38:51
2019-12,2호선,0205,동대문역사문화공원,"533,997","628,664","66,255","71,013",2020-01-03 12:38:51
2019-12,2호선,0206,신당,"367,717","387,930","106,809","109,542",2020-01-03 12:38:51
2019-12,2호선,0207,상왕십리,"386,986","365,509","72,429","73,276",2020-01-03 12:38:51
2019-12,2호선,0208,왕십리(성동구청),"562,051","463,524","66,075","54,972",2020-01-03 12:38:51
2019-12,2호선,0209,한양대,"323,077","364,457","15,770","16,925",2020-01-03 12:38:51
2019-12,2호선,0210,뚝섬,"530,944","563,726","64,618","65,019",2020-01-03 12:38:51
2019-12,2호선,0211,성수,"813,250","890,284","110,286","112,519",2020-01-03 12:38:51
2019-12,2호선,0212,건대입구,"1,293,080","1,434,377","106,723","111,335",2020-01-03 12:38:51
2019-12,2호선,0213,구의(광진구청),"649,070","622,204","118,791","119,910",2020-01-03 12:38:51
2019-12,2호선,0214,강변(동서울터미널),"1,245,774","1,228,136","153,741","149,308",2020-01-03 12:38:51
2019-12,2호선,0215,잠실나루,"397,350","382,417","97,004","97,797",2020-01-03 12:38:51
2019-12,2호선,0216,잠실(송파구청),"2,609,119","2,518,007","234,604","225,051",2020-01-03 12:38:51
2019-12,2호선,0217,잠실새내,"656,321","670,169","121,387","120,203",2020-01-03 12:38:51
2019-12,2호선,0218,종합운동장,"273,482","310,338","53,790","55,775",2020-01-03 12:38:51
2019-12,2호선,0219,삼성(무역센터),"1,927,662","1,969,790","140,529","133,129",2020-01-03 12:38:51
2019-12,2호선,0220,선릉,"1,470,994","1,319,221","239,514","211,177",2020-01-03 12:38:51
2019-12,2호선,0221,역삼,"1,305,991","1,467,201","177,830","181,385",2020-01-03 12:38:51
2019-12,2호선,0222,강남,"2,927,300","3,046,063","197,344","177,501",2020-01-03 12:38:51
2019-12,2호선,0223,교대(법원.검찰청),"934,226","1,078,405","184,835","212,531",2020-01-03 12:38:51
2019-12,2호선,0224,서초,"640,210","628,013","104,471","104,686",2020-01-03 12:38:51
2019-12,2호선,0225,방배,"523,016","541,646","90,565","89,452",2020-01-03 12:38:51
2019-12,2호선,0226,사당,"1,184,076","1,329,470","247,963","233,832",2020-01-03 12:38:51
2019-12,2호선,0227,낙성대,"813,899","772,830","124,259","125,652",2020-01-03 12:38:51
2019-12,2호선,0228,서울대입구(관악구청),"1,431,502","1,377,927","214,090","205,305",2020-01-03 12:38:51
2019-12,2호선,0229,봉천,"632,772","565,759","165,737","166,304",2020-01-03 12:38:51
2019-12,2호선,0230,신림,"1,936,739","1,864,147","267,868","271,159",2020-01-03 12:38:51
2019-12,2호선,0231,신대방,"759,481","713,898","139,772","140,378",2020-01-03 12:38:51
2019-12,2호선,0232,구로디지털단지,"1,776,584","1,772,175","197,619","200,755",2020-01-03 12:38:51
2019-12,2호선,0233,대림(구로구청),"776,489","798,351","127,725","132,148",2020-01-03 12:38:51
2019-12,2호선,0234,신도림,"1,637,239","1,640,776","237,392","226,971",2020-01-03 12:38:51
2019-12,2호선,0235,문래,"549,161","559,235","91,719","90,892",2020-01-03 12:38:51
2019-12,2호선,0236,영등포구청,"580,626","594,531","113,204","111,524",2020-01-03 12:38:51
2019-12,2호선,0237,당산,"575,492","661,758","69,097","74,698",2020-01-03 12:38:51
2019-12,2호선,0238,합정,"1,015,144","1,094,535","78,855","78,556",2020-01-03 12:38:51
2019-12,2호선,0239,홍대입구,"2,528,205","2,744,498","119,217","116,339",2020-01-03 12:38:51
2019-12,2호선,0240,신촌,"1,348,089","1,384,746","153,567","151,255",2020-01-03 12:38:51
2019-12,2호선,0241,이대,"524,637","554,435","65,302","66,469",2020-01-03 12:38:51
2019-12,2호선,0242,아현,"269,134","256,995","68,360","67,325",2020-01-03 12:38:51
2019-12,2호선,0243,충정로(경기대입구),"282,462","305,414","53,658","53,691",2020-01-03 12:38:51
2019-12,2호선,0244,용답,"67,984","69,239","18,415","17,805",2020-01-03 12:38:51
2019-12,2호선,0245,신답,"39,735","43,365","10,388","11,261",2020-01-03 12:38:51
2019-12,2호선,0246,신설동,"93,314","87,905","38,409","40,508",2020-01-03 12:38:51
2019-12,2호선,0247,도림천,"29,793","31,766","6,881","7,476",2020-01-03 12:38:51
2019-12,2호선,0248,양천구청,"177,224","186,079","51,488","52,855",2020-01-03 12:38:51
2019-12,2호선,0249,신정네거리,"240,549","247,824","72,936","73,966",2020-01-03 12:38:51
2019-12,2호선,0250,용두(동대문구청),"51,758","52,782","24,678","26,397",2020-01-03 12:38:51
2019-12,3호선,0309,지축,"40,063","40,142","11,431","13,503",2020-01-03 12:38:51
2019-12,3호선,0310,구파발,"587,445","549,603","129,537","122,373",2020-01-03 12:38:51
2019-12,3호선,0311,연신내,"1,020,676","959,695","298,502","289,036",2020-01-03 12:38:51
2019-12,3호선,0312,불광,"416,054","452,242","158,844","176,337",2020-01-03 12:38:51
